Name,Field,Major,Education,Skills,Projects,Experience
Candidate 987,Medical & Life Sciences,Pharmaceutical Sciences,"Master's in Pharmaceutical Sciences, Year: Year 2","Healthcare, Nursing, Biomedical Engineering, Public Health","Pharmaceutical Sciences Capstone Project, Internship Research on Pharmaceutical Sciences, Open-source contribution in Pharmaceutical Sciences",Intern at Moderna
Candidate 541,Medical & Life Sciences,Healthcare,"Bachelor's in Healthcare, Year: Freshman","Public Health, Biomedical Engineering, Pharmaceutical Sciences, Nursing",N/A,N/A
Candidate 609,Business & Finance,Real Estate,"Master's in Real Estate, Year: Year 2","Supply Chain Management, Finance, Investment Banking","Real Estate Capstone Project, Internship Research on Real Estate, Open-source contribution in Real Estate",Intern at JP Morgan
Candidate 938,Humanities & Social Sciences,Geography,"Master's in Geography, Year: Year 2","Psychology, Political Science, History","Geography Capstone Project, Internship Research on Geography, Open-source contribution in Geography",Intern at National Geographic
Candidate 896,Medical & Life Sciences,Pharmaceutical Sciences,"Master's in Pharmaceutical Sciences, Year: Year 2","Biomedical Engineering, Nursing, Pharmaceutical Sciences, Healthcare, Biology","Pharmaceutical Sciences Capstone Project, Internship Research on Pharmaceutical Sciences, Open-source contribution in Pharmaceutical Sciences",Intern at CDC
Candidate 556,Medical & Life Sciences,Healthcare,"Bachelor's in Healthcare, Year: Senior","Biology, Public Health, Nursing, Pharmaceutical Sciences, Healthcare","Healthcare Capstone Project, Internship Research on Healthcare, Open-source contribution in Healthcare",Intern at Johnson & Johnson
Candidate 918,Business & Finance,Supply Chain Management,"Master's in Supply Chain Management, Year: Year 2","Taxation, Finance, Real Estate, Accounting, Supply Chain Management","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at Deloitte
Candidate 933,Humanities & Social Sciences,Sociology,"Bachelor's in Sociology, Year: Junior","International Relations, History, Sociology, Geography, Psychology","Sociology Capstone Project, Internship Research on Sociology, Open-source contribution in Sociology",Intern at United Nations
Candidate 600,Math & Technology,Software Engineering,"Master's in Software Engineering, Year: Year 1","Mechanical Engineering, Mathematics, Computer Science","Software Engineering Capstone Project, Internship Research on Software Engineering, Open-source contribution in Software Engineering",Intern at Microsoft
Candidate 985,Medical & Life Sciences,Pharmaceutical Sciences,"Bachelor's in Pharmaceutical Sciences, Year: Senior","Biomedical Engineering, Nursing, Public Health, Pharmaceutical Sciences, Biology","Pharmaceutical Sciences Capstone Project, Internship Research on Pharmaceutical Sciences, Open-source contribution in Pharmaceutical Sciences",Intern at Mayo Clinic
Candidate 906,Arts & Design,Photography,"Bachelor's in Photography, Year: Sophomore","Fine Arts, Graphic Design, Photography, Music","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Spotify
Candidate 870,Humanities & Social Sciences,Psychology,"Bachelor's in Psychology, Year: Freshman","Psychology, International Relations, Political Science, Geography",N/A,N/A
Candidate 269,Math & Technology,Data Science,"Master's in Data Science, Year: Year 2","Electrical Engineering, Mechanical Engineering, Computer Science, Software Engineering","Data Science Capstone Project, Internship Research on Data Science, Open-source contribution in Data Science",Intern at Meta
Candidate 737,Business & Finance,Accounting,"Master's in Accounting, Year: Year 1","Real Estate, Accounting, Finance, Supply Chain Management, Investment Banking","Accounting Capstone Project, Internship Research on Accounting, Open-source contribution in Accounting",Intern at Morgan Stanley
Candidate 174,Math & Technology,Software Engineering,"Bachelor's in Software Engineering, Year: Junior","Data Science, Mathematics, Computer Science, Software Engineering","Software Engineering Capstone Project, Internship Research on Software Engineering, Open-source contribution in Software Engineering",Intern at Apple
Candidate 450,Humanities & Social Sciences,History,"Master's in History, Year: Year 2","International Relations, Psychology, Geography","History Capstone Project, Internship Research on History, Open-source contribution in History",Intern at United Nations
Candidate 570,Math & Technology,Electrical Engineering,"Master's in Electrical Engineering, Year: Year 1","Computer Science, Electrical Engineering, Mathematics, Software Engineering, Data Science","Electrical Engineering Capstone Project, Internship Research on Electrical Engineering, Open-source contribution in Electrical Engineering",Intern at Google
Candidate 840,Arts & Design,Photography,"Bachelor's in Photography, Year: Senior","Fine Arts, Graphic Design, Videography, Fashion Design, Music","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Warner Bros
Candidate 364,Arts & Design,Graphic Design,"Bachelor's in Graphic Design, Year: Senior","Graphic Design, Photography, Music","Graphic Design Capstone Project, Internship Research on Graphic Design, Open-source contribution in Graphic Design",Intern at Disney
Candidate 694,Medical & Life Sciences,Public Health,"Bachelor's in Public Health, Year: Junior","Nursing, Public Health, Biomedical Engineering","Public Health Capstone Project, Internship Research on Public Health, Open-source contribution in Public Health",Intern at Moderna
Candidate 129,Business & Finance,Real Estate,"Bachelor's in Real Estate, Year: Freshman","Investment Banking, Supply Chain Management, Taxation",N/A,N/A
Candidate 249,Arts & Design,Music,"Master's in Music, Year: Year 2","Fashion Design, Music, Graphic Design, Photography, Videography","Music Capstone Project, Internship Research on Music, Open-source contribution in Music",Intern at Pixar
Candidate 804,Arts & Design,Fine Arts,"Bachelor's in Fine Arts, Year: Sophomore","Fashion Design, Videography, Photography, Music, Fine Arts","Fine Arts Capstone Project, Internship Research on Fine Arts, Open-source contribution in Fine Arts",Intern at Warner Bros
Candidate 426,Humanities & Social Sciences,International Relations,"Bachelor's in International Relations, Year: Freshman","Political Science, History, International Relations",N/A,N/A
Candidate 867,Arts & Design,Music,"Master's in Music, Year: Year 2","Graphic Design, Videography, Photography","Music Capstone Project, Internship Research on Music, Open-source contribution in Music",Intern at Adobe
Candidate 300,Business & Finance,Real Estate,"Bachelor's in Real Estate, Year: Freshman","Finance, Accounting, Taxation",N/A,N/A
Candidate 140,Medical & Life Sciences,Nursing,"Master's in Nursing, Year: Year 2","Biology, Nursing, Pharmaceutical Sciences, Healthcare","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Pfizer
Candidate 269,Medical & Life Sciences,Biomedical Engineering,"Bachelor's in Biomedical Engineering, Year: Freshman","Public Health, Biology, Nursing",N/A,N/A
Candidate 875,Business & Finance,Investment Banking,"Bachelor's in Investment Banking, Year: Freshman","Finance, Investment Banking, Taxation",N/A,N/A
Candidate 595,Arts & Design,Fashion Design,"Bachelor's in Fashion Design, Year: Senior","Graphic Design, Fashion Design, Music, Photography, Videography","Fashion Design Capstone Project, Internship Research on Fashion Design, Open-source contribution in Fashion Design",Intern at Adobe
Candidate 833,Business & Finance,Supply Chain Management,"Master's in Supply Chain Management, Year: Year 2","Investment Banking, Supply Chain Management, Taxation, Accounting","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at McKinsey
Candidate 533,Humanities & Social Sciences,Psychology,"Bachelor's in Psychology, Year: Senior","Geography, Political Science, International Relations, Psychology, Sociology","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at Brookings Institution
Candidate 617,Medical & Life Sciences,Public Health,"Bachelor's in Public Health, Year: Junior","Nursing, Pharmaceutical Sciences, Healthcare","Public Health Capstone Project, Internship Research on Public Health, Open-source contribution in Public Health",Intern at CDC
Candidate 802,Business & Finance,Accounting,"Bachelor's in Accounting, Year: Freshman","Supply Chain Management, Investment Banking, Accounting, Finance, Real Estate",N/A,N/A
Candidate 920,Business & Finance,Supply Chain Management,"Bachelor's in Supply Chain Management, Year: Junior","Supply Chain Management, Accounting, Finance, Investment Banking, Taxation","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at Goldman Sachs
Candidate 344,Math & Technology,Data Science,"Bachelor's in Data Science, Year: Freshman","Software Engineering, Electrical Engineering, Mathematics",N/A,N/A
Candidate 961,Humanities & Social Sciences,History,"Bachelor's in History, Year: Sophomore","History, Geography, Sociology","History Capstone Project, Internship Research on History, Open-source contribution in History",Intern at Brookings Institution
Candidate 347,Business & Finance,Finance,"Bachelor's in Finance, Year: Junior","Supply Chain Management, Taxation, Finance, Real Estate, Investment Banking","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at Deloitte
Candidate 242,Humanities & Social Sciences,Psychology,"Master's in Psychology, Year: Year 1","Sociology, Psychology, Geography, Political Science","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at United Nations
Candidate 807,Humanities & Social Sciences,Psychology,"Master's in Psychology, Year: Year 1","Sociology, Political Science, History, International Relations, Psychology","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at National Geographic
Candidate 103,Business & Finance,Real Estate,"Master's in Real Estate, Year: Year 1","Finance, Accounting, Taxation, Investment Banking","Real Estate Capstone Project, Internship Research on Real Estate, Open-source contribution in Real Estate",Intern at Morgan Stanley
Candidate 515,Arts & Design,Fine Arts,"Master's in Fine Arts, Year: Year 2","Photography, Music, Graphic Design, Fine Arts","Fine Arts Capstone Project, Internship Research on Fine Arts, Open-source contribution in Fine Arts",Intern at Warner Bros
Candidate 646,Math & Technology,Mathematics,"Bachelor's in Mathematics, Year: Senior","Mechanical Engineering, Computer Science, Software Engineering, Electrical Engineering","Mathematics Capstone Project, Internship Research on Mathematics, Open-source contribution in Mathematics",Intern at Microsoft
Candidate 876,Humanities & Social Sciences,Psychology,"Bachelor's in Psychology, Year: Senior","Political Science, Psychology, History","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at United Nations
Candidate 773,Humanities & Social Sciences,Political Science,"Bachelor's in Political Science, Year: Sophomore","Sociology, Geography, Political Science, International Relations","Political Science Capstone Project, Internship Research on Political Science, Open-source contribution in Political Science",Intern at National Geographic
Candidate 281,Math & Technology,Data Science,"Bachelor's in Data Science, Year: Senior","Computer Science, Software Engineering, Electrical Engineering, Mechanical Engineering","Data Science Capstone Project, Internship Research on Data Science, Open-source contribution in Data Science",Intern at Microsoft
Candidate 429,Math & Technology,Software Engineering,"Bachelor's in Software Engineering, Year: Junior","Software Engineering, Electrical Engineering, Mathematics, Computer Science","Software Engineering Capstone Project, Internship Research on Software Engineering, Open-source contribution in Software Engineering",Intern at Tesla
Candidate 145,Humanities & Social Sciences,Political Science,"Bachelor's in Political Science, Year: Freshman","International Relations, Sociology, Geography, History",N/A,N/A
Candidate 536,Business & Finance,Real Estate,"Master's in Real Estate, Year: Year 2","Investment Banking, Taxation, Finance, Accounting, Supply Chain Management","Real Estate Capstone Project, Internship Research on Real Estate, Open-source contribution in Real Estate",Intern at Goldman Sachs
Candidate 718,Math & Technology,Mechanical Engineering,"Master's in Mechanical Engineering, Year: Year 2","Computer Science, Mechanical Engineering, Data Science, Electrical Engineering","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Meta
Candidate 705,Math & Technology,Electrical Engineering,"Master's in Electrical Engineering, Year: Year 1","Electrical Engineering, Software Engineering, Data Science, Mathematics","Electrical Engineering Capstone Project, Internship Research on Electrical Engineering, Open-source contribution in Electrical Engineering",Intern at Tesla
Candidate 164,Medical & Life Sciences,Healthcare,"Bachelor's in Healthcare, Year: Freshman","Nursing, Public Health, Biology, Healthcare",N/A,N/A
Candidate 670,Humanities & Social Sciences,Sociology,"Master's in Sociology, Year: Year 1","Sociology, International Relations, History, Geography","Sociology Capstone Project, Internship Research on Sociology, Open-source contribution in Sociology",Intern at Brookings Institution
Candidate 117,Business & Finance,Accounting,"Master's in Accounting, Year: Year 2","Taxation, Accounting, Real Estate, Finance","Accounting Capstone Project, Internship Research on Accounting, Open-source contribution in Accounting",Intern at Goldman Sachs
Candidate 798,Medical & Life Sciences,Biomedical Engineering,"Bachelor's in Biomedical Engineering, Year: Freshman","Pharmaceutical Sciences, Public Health, Healthcare",N/A,N/A
Candidate 533,Humanities & Social Sciences,Geography,"Bachelor's in Geography, Year: Senior","Psychology, Geography, International Relations, History","Geography Capstone Project, Internship Research on Geography, Open-source contribution in Geography",Intern at Brookings Institution
Candidate 803,Math & Technology,Computer Science,"Bachelor's in Computer Science, Year: Junior","Mechanical Engineering, Computer Science, Data Science, Software Engineering, Electrical Engineering","Computer Science Capstone Project, Internship Research on Computer Science, Open-source contribution in Computer Science",Intern at Microsoft
Candidate 645,Business & Finance,Taxation,"Master's in Taxation, Year: Year 1","Real Estate, Taxation, Accounting, Investment Banking, Finance","Taxation Capstone Project, Internship Research on Taxation, Open-source contribution in Taxation",Intern at McKinsey
Candidate 147,Math & Technology,Computer Science,"Master's in Computer Science, Year: Year 1","Mechanical Engineering, Mathematics, Software Engineering, Electrical Engineering, Computer Science","Computer Science Capstone Project, Internship Research on Computer Science, Open-source contribution in Computer Science",Intern at Amazon
Candidate 765,Business & Finance,Finance,"Master's in Finance, Year: Year 2","Investment Banking, Supply Chain Management, Accounting, Real Estate, Taxation","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at McKinsey
Candidate 320,Humanities & Social Sciences,Sociology,"Bachelor's in Sociology, Year: Senior","Political Science, Geography, International Relations","Sociology Capstone Project, Internship Research on Sociology, Open-source contribution in Sociology",Intern at United Nations
Candidate 572,Medical & Life Sciences,Pharmaceutical Sciences,"Bachelor's in Pharmaceutical Sciences, Year: Junior","Public Health, Pharmaceutical Sciences, Biomedical Engineering, Biology","Pharmaceutical Sciences Capstone Project, Internship Research on Pharmaceutical Sciences, Open-source contribution in Pharmaceutical Sciences",Intern at Mayo Clinic
Candidate 593,Business & Finance,Real Estate,"Bachelor's in Real Estate, Year: Freshman","Taxation, Supply Chain Management, Finance",N/A,N/A
Candidate 282,Medical & Life Sciences,Healthcare,"Master's in Healthcare, Year: Year 1","Biology, Pharmaceutical Sciences, Healthcare, Public Health","Healthcare Capstone Project, Internship Research on Healthcare, Open-source contribution in Healthcare",Intern at Mayo Clinic
Candidate 815,Arts & Design,Photography,"Master's in Photography, Year: Year 1","Videography, Photography, Graphic Design","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Disney
Candidate 730,Humanities & Social Sciences,International Relations,"Master's in International Relations, Year: Year 1","International Relations, Political Science, Geography, Psychology, History","International Relations Capstone Project, Internship Research on International Relations, Open-source contribution in International Relations",Intern at Amnesty International
Candidate 267,Humanities & Social Sciences,History,"Bachelor's in History, Year: Junior","History, International Relations, Psychology","History Capstone Project, Internship Research on History, Open-source contribution in History",Intern at United Nations
Candidate 439,Medical & Life Sciences,Public Health,"Bachelor's in Public Health, Year: Senior","Public Health, Biology, Nursing, Pharmaceutical Sciences, Biomedical Engineering","Public Health Capstone Project, Internship Research on Public Health, Open-source contribution in Public Health",Intern at Pfizer
Candidate 670,Medical & Life Sciences,Healthcare,"Bachelor's in Healthcare, Year: Freshman","Public Health, Biomedical Engineering, Healthcare, Biology",N/A,N/A
Candidate 443,Math & Technology,Software Engineering,"Master's in Software Engineering, Year: Year 1","Computer Science, Mathematics, Software Engineering, Data Science","Software Engineering Capstone Project, Internship Research on Software Engineering, Open-source contribution in Software Engineering",Intern at Google
Candidate 611,Arts & Design,Fine Arts,"Bachelor's in Fine Arts, Year: Freshman","Videography, Music, Photography",N/A,N/A
Candidate 965,Business & Finance,Supply Chain Management,"Master's in Supply Chain Management, Year: Year 2","Taxation, Real Estate, Supply Chain Management, Finance","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at Goldman Sachs
Candidate 765,Humanities & Social Sciences,Sociology,"Master's in Sociology, Year: Year 2","Geography, Sociology, Political Science, International Relations, History","Sociology Capstone Project, Internship Research on Sociology, Open-source contribution in Sociology",Intern at National Geographic
Candidate 807,Humanities & Social Sciences,International Relations,"Bachelor's in International Relations, Year: Senior","Geography, Psychology, International Relations, Sociology","International Relations Capstone Project, Internship Research on International Relations, Open-source contribution in International Relations",Intern at National Geographic
Candidate 838,Arts & Design,Fine Arts,"Master's in Fine Arts, Year: Year 1","Fashion Design, Videography, Photography, Fine Arts","Fine Arts Capstone Project, Internship Research on Fine Arts, Open-source contribution in Fine Arts",Intern at Pixar
Candidate 868,Arts & Design,Music,"Master's in Music, Year: Year 1","Fine Arts, Music, Videography, Graphic Design","Music Capstone Project, Internship Research on Music, Open-source contribution in Music",Intern at Spotify
Candidate 112,Math & Technology,Mathematics,"Master's in Mathematics, Year: Year 1","Data Science, Software Engineering, Electrical Engineering, Mathematics, Computer Science","Mathematics Capstone Project, Internship Research on Mathematics, Open-source contribution in Mathematics",Intern at Amazon
Candidate 798,Medical & Life Sciences,Biology,"Master's in Biology, Year: Year 1","Public Health, Pharmaceutical Sciences, Biology, Nursing","Biology Capstone Project, Internship Research on Biology, Open-source contribution in Biology",Intern at Moderna
Candidate 197,Medical & Life Sciences,Biology,"Master's in Biology, Year: Year 2","Pharmaceutical Sciences, Public Health, Biomedical Engineering","Biology Capstone Project, Internship Research on Biology, Open-source contribution in Biology",Intern at Pfizer
Candidate 349,Humanities & Social Sciences,Psychology,"Master's in Psychology, Year: Year 2","Psychology, International Relations, Political Science, Sociology","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at Brookings Institution
Candidate 105,Business & Finance,Investment Banking,"Master's in Investment Banking, Year: Year 2","Investment Banking, Taxation, Accounting","Investment Banking Capstone Project, Internship Research on Investment Banking, Open-source contribution in Investment Banking",Intern at JP Morgan
Candidate 226,Arts & Design,Photography,"Master's in Photography, Year: Year 1","Photography, Graphic Design, Fashion Design, Music, Videography","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Spotify
Candidate 605,Medical & Life Sciences,Biomedical Engineering,"Bachelor's in Biomedical Engineering, Year: Junior","Public Health, Pharmaceutical Sciences, Healthcare, Biology, Biomedical Engineering","Biomedical Engineering Capstone Project, Internship Research on Biomedical Engineering, Open-source contribution in Biomedical Engineering",Intern at CDC
Candidate 912,Medical & Life Sciences,Biology,"Master's in Biology, Year: Year 2","Healthcare, Pharmaceutical Sciences, Biomedical Engineering, Nursing","Biology Capstone Project, Internship Research on Biology, Open-source contribution in Biology",Intern at Mayo Clinic
Candidate 376,Humanities & Social Sciences,Psychology,"Bachelor's in Psychology, Year: Junior","History, International Relations, Sociology","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at National Geographic
Candidate 666,Arts & Design,Fine Arts,"Master's in Fine Arts, Year: Year 2","Videography, Music, Fine Arts, Fashion Design","Fine Arts Capstone Project, Internship Research on Fine Arts, Open-source contribution in Fine Arts",Intern at Adobe
Candidate 144,Business & Finance,Finance,"Master's in Finance, Year: Year 2","Taxation, Investment Banking, Finance, Supply Chain Management, Real Estate","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at Morgan Stanley
Candidate 183,Humanities & Social Sciences,History,"Bachelor's in History, Year: Senior","Political Science, International Relations, Sociology, Geography, History","History Capstone Project, Internship Research on History, Open-source contribution in History",Intern at Brookings Institution
Candidate 260,Business & Finance,Investment Banking,"Master's in Investment Banking, Year: Year 1","Taxation, Investment Banking, Finance","Investment Banking Capstone Project, Internship Research on Investment Banking, Open-source contribution in Investment Banking",Intern at JP Morgan
Candidate 714,Math & Technology,Data Science,"Master's in Data Science, Year: Year 1","Mechanical Engineering, Mathematics, Data Science, Software Engineering","Data Science Capstone Project, Internship Research on Data Science, Open-source contribution in Data Science",Intern at Tesla
Candidate 782,Medical & Life Sciences,Biomedical Engineering,"Master's in Biomedical Engineering, Year: Year 1","Healthcare, Biology, Pharmaceutical Sciences","Biomedical Engineering Capstone Project, Internship Research on Biomedical Engineering, Open-source contribution in Biomedical Engineering",Intern at Pfizer
Candidate 953,Medical & Life Sciences,Nursing,"Master's in Nursing, Year: Year 2","Biology, Pharmaceutical Sciences, Nursing","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Johnson & Johnson
Candidate 757,Business & Finance,Finance,"Bachelor's in Finance, Year: Junior","Supply Chain Management, Finance, Investment Banking, Accounting, Taxation","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at JP Morgan
Candidate 436,Math & Technology,Data Science,"Bachelor's in Data Science, Year: Sophomore","Electrical Engineering, Computer Science, Mechanical Engineering, Software Engineering, Mathematics","Data Science Capstone Project, Internship Research on Data Science, Open-source contribution in Data Science",Intern at Microsoft
Candidate 831,Medical & Life Sciences,Public Health,"Master's in Public Health, Year: Year 1","Pharmaceutical Sciences, Nursing, Healthcare, Biomedical Engineering","Public Health Capstone Project, Internship Research on Public Health, Open-source contribution in Public Health",Intern at Moderna
Candidate 721,Business & Finance,Investment Banking,"Master's in Investment Banking, Year: Year 2","Supply Chain Management, Accounting, Investment Banking","Investment Banking Capstone Project, Internship Research on Investment Banking, Open-source contribution in Investment Banking",Intern at Goldman Sachs
Candidate 898,Medical & Life Sciences,Nursing,"Bachelor's in Nursing, Year: Freshman","Nursing, Pharmaceutical Sciences, Biomedical Engineering",Nursing Personal Project,Volunteer at Mayo Clinic
Candidate 899,Medical & Life Sciences,Healthcare,"Bachelor's in Healthcare, Year: Freshman","Pharmaceutical Sciences, Healthcare, Nursing, Public Health, Biology",N/A,N/A
Candidate 812,Arts & Design,Graphic Design,"Master's in Graphic Design, Year: Year 1","Fine Arts, Videography, Music, Graphic Design, Fashion Design","Graphic Design Capstone Project, Internship Research on Graphic Design, Open-source contribution in Graphic Design",Intern at Adobe
Candidate 127,Arts & Design,Fine Arts,"Bachelor's in Fine Arts, Year: Senior","Photography, Fashion Design, Music","Fine Arts Capstone Project, Internship Research on Fine Arts, Open-source contribution in Fine Arts",Intern at Pixar
Candidate 537,Arts & Design,Fashion Design,"Master's in Fashion Design, Year: Year 1","Fine Arts, Fashion Design, Graphic Design, Photography, Music","Fashion Design Capstone Project, Internship Research on Fashion Design, Open-source contribution in Fashion Design",Intern at Disney
Candidate 448,Arts & Design,Photography,"Bachelor's in Photography, Year: Senior","Videography, Graphic Design, Music, Photography, Fashion Design","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Warner Bros
Candidate 399,Humanities & Social Sciences,Political Science,"Master's in Political Science, Year: Year 1","Sociology, Political Science, International Relations, Psychology, Geography","Political Science Capstone Project, Internship Research on Political Science, Open-source contribution in Political Science",Intern at Brookings Institution
Candidate 660,Math & Technology,Mathematics,"Bachelor's in Mathematics, Year: Freshman","Mathematics, Mechanical Engineering, Electrical Engineering, Computer Science",N/A,N/A
Candidate 292,Arts & Design,Fashion Design,"Master's in Fashion Design, Year: Year 1","Fashion Design, Videography, Photography, Graphic Design","Fashion Design Capstone Project, Internship Research on Fashion Design, Open-source contribution in Fashion Design",Intern at Spotify
Candidate 794,Humanities & Social Sciences,International Relations,"Master's in International Relations, Year: Year 2","History, Political Science, Psychology","International Relations Capstone Project, Internship Research on International Relations, Open-source contribution in International Relations",Intern at Brookings Institution
Candidate 485,Business & Finance,Taxation,"Master's in Taxation, Year: Year 1","Accounting, Taxation, Real Estate, Finance","Taxation Capstone Project, Internship Research on Taxation, Open-source contribution in Taxation",Intern at McKinsey
Candidate 576,Medical & Life Sciences,Biomedical Engineering,"Master's in Biomedical Engineering, Year: Year 1","Healthcare, Public Health, Biomedical Engineering, Nursing, Pharmaceutical Sciences","Biomedical Engineering Capstone Project, Internship Research on Biomedical Engineering, Open-source contribution in Biomedical Engineering",Intern at Pfizer
Candidate 210,Medical & Life Sciences,Nursing,"Master's in Nursing, Year: Year 2","Pharmaceutical Sciences, Biology, Public Health, Nursing, Biomedical Engineering","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Moderna
Candidate 173,Business & Finance,Real Estate,"Bachelor's in Real Estate, Year: Sophomore","Accounting, Investment Banking, Finance","Real Estate Capstone Project, Internship Research on Real Estate, Open-source contribution in Real Estate",Intern at Morgan Stanley
Candidate 352,Arts & Design,Graphic Design,"Master's in Graphic Design, Year: Year 1","Fine Arts, Photography, Graphic Design, Videography, Music","Graphic Design Capstone Project, Internship Research on Graphic Design, Open-source contribution in Graphic Design",Intern at Pixar
Candidate 187,Arts & Design,Videography,"Bachelor's in Videography, Year: Junior","Videography, Photography, Music","Videography Capstone Project, Internship Research on Videography, Open-source contribution in Videography",Intern at Warner Bros
Candidate 319,Math & Technology,Software Engineering,"Bachelor's in Software Engineering, Year: Freshman","Mechanical Engineering, Data Science, Mathematics, Computer Science",N/A,N/A
Candidate 112,Business & Finance,Investment Banking,"Master's in Investment Banking, Year: Year 1","Real Estate, Finance, Investment Banking, Taxation","Investment Banking Capstone Project, Internship Research on Investment Banking, Open-source contribution in Investment Banking",Intern at Goldman Sachs
Candidate 912,Math & Technology,Software Engineering,"Bachelor's in Software Engineering, Year: Junior","Software Engineering, Data Science, Mathematics","Software Engineering Capstone Project, Internship Research on Software Engineering, Open-source contribution in Software Engineering",Intern at Apple
Candidate 989,Arts & Design,Photography,"Master's in Photography, Year: Year 1","Fine Arts, Graphic Design, Music, Photography, Videography","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Warner Bros
Candidate 520,Business & Finance,Supply Chain Management,"Bachelor's in Supply Chain Management, Year: Freshman","Taxation, Accounting, Real Estate, Investment Banking",N/A,N/A
Candidate 218,Medical & Life Sciences,Nursing,"Master's in Nursing, Year: Year 2","Nursing, Biology, Healthcare, Public Health","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Pfizer
Candidate 250,Arts & Design,Fine Arts,"Bachelor's in Fine Arts, Year: Sophomore","Graphic Design, Fashion Design, Fine Arts","Fine Arts Capstone Project, Internship Research on Fine Arts, Open-source contribution in Fine Arts",Intern at Disney
Candidate 622,Math & Technology,Mechanical Engineering,"Bachelor's in Mechanical Engineering, Year: Freshman","Computer Science, Mechanical Engineering, Software Engineering, Electrical Engineering, Data Science",N/A,N/A
Candidate 408,Humanities & Social Sciences,Psychology,"Master's in Psychology, Year: Year 1","History, Geography, Sociology, Psychology, International Relations","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at Amnesty International
Candidate 465,Math & Technology,Mathematics,"Master's in Mathematics, Year: Year 2","Software Engineering, Mechanical Engineering, Data Science","Mathematics Capstone Project, Internship Research on Mathematics, Open-source contribution in Mathematics",Intern at Amazon
Candidate 258,Business & Finance,Finance,"Master's in Finance, Year: Year 1","Accounting, Investment Banking, Taxation, Supply Chain Management, Finance","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at JP Morgan
Candidate 313,Humanities & Social Sciences,International Relations,"Master's in International Relations, Year: Year 1","Political Science, International Relations, Geography","International Relations Capstone Project, Internship Research on International Relations, Open-source contribution in International Relations",Intern at Brookings Institution
Candidate 318,Humanities & Social Sciences,Geography,"Bachelor's in Geography, Year: Freshman","International Relations, Psychology, Sociology",N/A,N/A
Candidate 787,Humanities & Social Sciences,Sociology,"Master's in Sociology, Year: Year 2","Geography, Political Science, Sociology, History","Sociology Capstone Project, Internship Research on Sociology, Open-source contribution in Sociology",Intern at National Geographic
Candidate 798,Business & Finance,Investment Banking,"Master's in Investment Banking, Year: Year 1","Real Estate, Investment Banking, Finance","Investment Banking Capstone Project, Internship Research on Investment Banking, Open-source contribution in Investment Banking",Intern at Morgan Stanley
Candidate 864,Arts & Design,Music,"Bachelor's in Music, Year: Freshman","Music, Photography, Graphic Design",N/A,N/A
Candidate 824,Arts & Design,Fashion Design,"Bachelor's in Fashion Design, Year: Freshman","Music, Graphic Design, Fashion Design, Photography",N/A,N/A
Candidate 687,Humanities & Social Sciences,History,"Master's in History, Year: Year 2","Sociology, Psychology, History","History Capstone Project, Internship Research on History, Open-source contribution in History",Intern at United Nations
Candidate 302,Medical & Life Sciences,Healthcare,"Master's in Healthcare, Year: Year 2","Nursing, Pharmaceutical Sciences, Biomedical Engineering, Biology, Public Health","Healthcare Capstone Project, Internship Research on Healthcare, Open-source contribution in Healthcare",Intern at CDC
